Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE51207975897115,Wed Feb 26 06:41:27 CET 2020,3929.93,EUR,Fuga quisquam vel sint eligendi eum molestiae.
Jos,BE69771770897312,BE23565615632685,Sat Feb 22 16:06:05 CET 2020,-4151.99,EUR,Sit fugiat et quae accusamus aliquam illo expedita.
Jos,BE69771770897312,BE10033984243635,Tue Feb 18 08:11:03 CET 2020,-1157.1,EUR,Est ut eligendi harum occaecati dolor quaerat.
Jos,BE69771770897312,BE14165200744273,Tue Feb 04 13:50:42 CET 2020,1396.08,EUR,Quia ea voluptatem error autem.
Jos,BE69771770897312,BE32673887056773,Mon Feb 10 17:17:59 CET 2020,-3104.86,EUR,Eligendi molestiae et et.
Jos,BE69771770897312,BE04819514721305,Tue Feb 18 17:46:37 CET 2020,4859.17,EUR,Consequatur beatae consequatur.
Jos,BE69771770897312,BE62939540878827,Sat Feb 22 02:15:55 CET 2020,-2798.92,EUR,Sit saepe ratione quaerat ipsum rerum non.
Jos,BE69771770897312,BE12506056428822,Wed Feb 26 14:06:32 CET 2020,3632.87,EUR,Consectetur et aut nihil quo qui.
Jos,BE69771770897312,BE42375641201310,Tue Feb 18 11:20:07 CET 2020,459.79,EUR,Laborum incidunt quis ex magnam praesentium cumque.
Jos,BE69771770897312,BE91647888067238,Sun Feb 09 07:21:34 CET 2020,-4063.86,EUR,Magnam quisquam earum molestiae.
Jos,BE69771770897312,BE28006838274361,Sat Feb 08 20:33:38 CET 2020,-2703.28,EUR,Quia eligendi optio blanditiis eos.
Jos,BE69771770897312,BE62878836580454,Wed Feb 19 10:07:53 CET 2020,4358.83,EUR,Hic consequuntur cum et rerum minus.
Jos,BE69771770897312,BE83512173196425,Tue Feb 25 18:00:51 CET 2020,250.52,EUR,Deserunt aspernatur eum nam atque tenetur qui.
Jos,BE69771770897312,BE34039200806688,Tue Feb 04 23:31:55 CET 2020,1512.26,EUR,Asperiores animi et et.
Jos,BE69771770897312,BE90931328616114,Sat Feb 08 06:14:02 CET 2020,-215.87,EUR,Neque qui esse placeat.
Jos,BE69771770897312,BE85317444433255,Tue Feb 25 09:42:13 CET 2020,-4483.08,EUR,Ratione modi assumenda possimus.
Jos,BE69771770897312,BE76366650199791,Wed Feb 26 04:57:31 CET 2020,-3523.28,EUR,Voluptates rerum iure aliquid neque.
Jos,BE69771770897312,BE31727999446333,Thu Feb 13 06:46:14 CET 2020,3643.69,EUR,Animi minima quia.
Jos,BE69771770897312,BE10050190642019,Wed Feb 19 00:20:39 CET 2020,-364.67,EUR,Sit enim tenetur eos qui sit incidunt tenetur.
Jos,BE69771770897312,BE23443047656146,Fri Feb 21 13:13:46 CET 2020,-3477.48,EUR,Debitis pariatur similique.
Jos,BE69771770897312,BE52620143853430,Fri Feb 21 20:53:14 CET 2020,4920.76,EUR,Consequatur ducimus explicabo sed odit.
Jos,BE69771770897312,BE02041401208420,Thu Feb 13 07:26:12 CET 2020,3492.13,EUR,Illo quos totam et et repudiandae hic.
Jos,BE69771770897312,BE09514525507412,Wed Feb 19 03:52:53 CET 2020,-3456.32,EUR,Sequi iusto doloremque voluptatibus.
Jos,BE69771770897312,BE25997799068144,Thu Feb 20 13:37:15 CET 2020,3923.16,EUR,Consequatur iusto deleniti qui odit quam est.
Jos,BE69771770897312,BE50244590642430,Tue Jan 28 22:08:42 CET 2020,4808.02,EUR,Excepturi error dolorum.
Jos,BE69771770897312,BE77939537161323,Sun Feb 23 04:08:37 CET 2020,-195.18,EUR,Aliquid molestiae fugit.
Jos,BE69771770897312,BE88737143553051,Sat Feb 22 17:28:53 CET 2020,1417.12,EUR,Rerum illum impedit consequuntur corrupti nihil corporis perferendis.
Jos,BE69771770897312,BE20691761514224,Sat Feb 08 14:30:21 CET 2020,3467.06,EUR,Vel impedit aliquid fuga.
Jos,BE69771770897312,BE96909935778166,Sun Feb 23 19:02:54 CET 2020,-4301.49,EUR,Reiciendis culpa voluptate praesentium delectus vitae hic facere.
Jos,BE69771770897312,BE56383527416391,Sun Feb 23 21:26:55 CET 2020,1974.97,EUR,Recusandae expedita excepturi sit.
Jos,BE69771770897312,BE39989834102042,Mon Feb 17 13:17:26 CET 2020,-1884.55,EUR,Iste optio quia.
Jos,BE69771770897312,BE19522032623479,Sat Feb 15 01:30:10 CET 2020,-586.96,EUR,Dolores sit molestias aut.
Jos,BE69771770897312,BE12007058350965,Mon Feb 10 13:26:39 CET 2020,-90.51,EUR,Ut cumque fuga dolore ea nihil.
Jos,BE69771770897312,BE73019060107972,Wed Feb 26 00:13:24 CET 2020,1453.51,EUR,Voluptate sit ea.
Jos,BE69771770897312,BE75383254674941,Sun Feb 02 12:12:41 CET 2020,-1458.49,EUR,Veritatis minima sunt a optio et.
Jos,BE69771770897312,BE83706732874203,Tue Feb 25 05:05:59 CET 2020,-4068.99,EUR,Impedit est nemo laborum eaque.
Jos,BE69771770897312,BE62244444672055,Sat Feb 08 17:14:27 CET 2020,-2675.37,EUR,Quos atque illo et accusantium.
Jos,BE69771770897312,BE25689954557297,Thu Feb 13 03:02:18 CET 2020,1996.57,EUR,Repellat eveniet dolorem autem eius.
Jos,BE69771770897312,BE87155320529278,Sun Feb 23 04:24:20 CET 2020,-3833.3,EUR,Perspiciatis pariatur modi neque omnis non sed.
Jos,BE69771770897312,BE73766316487427,Sat Feb 22 17:26:03 CET 2020,3833.27,EUR,Ipsum ut voluptatibus.
Jos,BE69771770897312,BE84923204203906,Wed Feb 26 11:47:41 CET 2020,-4035.99,EUR,Incidunt adipisci non qui quia mollitia nobis est.
Jos,BE69771770897312,BE64741222851526,Thu Feb 20 17:39:21 CET 2020,1805.4,EUR,Perferendis libero qui.
Jos,BE69771770897312,BE50056747657290,Sat Feb 22 11:42:25 CET 2020,4553.96,EUR,Odit vel dolorem facilis recusandae.
Jos,BE69771770897312,BE64000197169974,Sun Feb 23 11:27:54 CET 2020,4468.67,EUR,Vel est ut voluptate mollitia et enim aut.
Jos,BE69771770897312,BE14936060197166,Wed Feb 19 13:39:35 CET 2020,4527.58,EUR,Adipisci molestiae et mollitia est ratione.
Jos,BE69771770897312,BE33348903763639,Wed Feb 19 02:15:04 CET 2020,-3761.83,EUR,At ut molestiae.
Jos,BE69771770897312,BE04678444013778,Thu Feb 20 22:48:04 CET 2020,-2413.23,EUR,Et sint exercitationem quae nulla.
Jos,BE69771770897312,BE15358937943416,Thu Feb 20 10:32:36 CET 2020,387.45,EUR,Eos sint voluptatem ex tempore iure vel maxime.
Jos,BE69771770897312,BE66273550916843,Thu Feb 13 15:14:18 CET 2020,1787.21,EUR,Non in a.
Jos,BE69771770897312,BE13220317862549,Wed Feb 19 10:37:34 CET 2020,4236.03,EUR,Architecto distinctio et quo.
Jos,BE69771770897312,BE04974371512995,Sun Feb 16 01:51:28 CET 2020,3440.84,EUR,Facere esse a qui quas impedit est provident.
Jos,BE69771770897312,BE71944281276522,Thu Feb 20 15:18:57 CET 2020,-751.0,EUR,Qui maiores nihil sunt esse odio aut.
Jos,BE69771770897312,BE74127523205077,Sun Feb 23 01:54:13 CET 2020,1262.84,EUR,Ullam magnam corporis et tenetur corrupti ipsam ea.
Jos,BE69771770897312,BE94916888677771,Tue Feb 25 17:18:01 CET 2020,-3030.6,EUR,Expedita minus tempore dolorum.
Jos,BE69771770897312,BE65378981352246,Fri Jan 31 12:25:13 CET 2020,367.68,EUR,Debitis optio non occaecati eos harum.
Jos,BE69771770897312,BE41771723724097,Sun Feb 23 20:49:13 CET 2020,-3999.38,EUR,Beatae repudiandae aspernatur reiciendis.
Jos,BE69771770897312,BE46975498034640,Mon Feb 17 13:17:29 CET 2020,-2400.46,EUR,Tenetur harum voluptatem in quia vitae.
Jos,BE69771770897312,BE18620831339796,Sun Feb 09 03:12:57 CET 2020,1826.44,EUR,Repudiandae animi debitis.
Jos,BE69771770897312,BE67085478225112,Tue Feb 25 08:00:29 CET 2020,3866.84,EUR,Nisi provident quidem totam dolores rerum voluptas.
Jos,BE69771770897312,BE28140618773840,Sat Feb 22 01:32:30 CET 2020,2667.98,EUR,Repellendus ad qui omnis dignissimos omnis quia.
Jos,BE69771770897312,BE09714553048806,Sun Feb 23 03:55:23 CET 2020,-4262.59,EUR,Voluptas architecto aut ipsam iure debitis perferendis sit.
Jos,BE69771770897312,BE04258480533911,Fri Jan 31 22:31:58 CET 2020,471.26,EUR,Dolorem voluptatem quia aut laborum illum odio.
Jos,BE69771770897312,BE03887920795931,Thu Feb 13 11:56:39 CET 2020,4859.35,EUR,Ratione qui quisquam ut ut voluptate.
Jos,BE69771770897312,BE13636216028863,Sat Feb 22 03:17:43 CET 2020,-1813.85,EUR,Voluptatem amet ad quidem facere.
Jos,BE69771770897312,BE23610601885673,Sun Feb 23 05:47:45 CET 2020,1242.16,EUR,Assumenda sint amet corporis veniam illum quam.
Jos,BE69771770897312,BE16612534620693,Tue Feb 25 22:04:54 CET 2020,1224.39,EUR,Ut soluta est.
Jos,BE69771770897312,BE36341479823868,Wed Feb 19 22:39:57 CET 2020,4703.76,EUR,Consequuntur commodi cumque fuga nihil.
Jos,BE69771770897312,BE94190611896174,Tue Feb 25 17:08:55 CET 2020,1197.49,EUR,Et at iste expedita.
Jos,BE69771770897312,BE94152779859174,Mon Feb 17 13:22:58 CET 2020,-2221.92,EUR,Accusantium et voluptatum molestias.
Jos,BE69771770897312,BE83384693168210,Tue Feb 18 23:40:08 CET 2020,-2451.1,EUR,Et fugit ullam expedita debitis dolores excepturi.
Jos,BE69771770897312,BE13626279593109,Fri Feb 14 17:41:46 CET 2020,54.81,EUR,Ea sint aut.
Jos,BE69771770897312,BE63175162336192,Tue Feb 18 10:21:58 CET 2020,2100.59,EUR,Fugit exercitationem eveniet perspiciatis molestiae reprehenderit a.
Jos,BE69771770897312,BE86286123857633,Sun Feb 23 07:16:52 CET 2020,-605.4,EUR,Et rerum maiores rerum.
Jos,BE69771770897312,BE35638088293755,Sun Feb 16 10:47:00 CET 2020,-4452.17,EUR,Quas ullam quo.
Jos,BE69771770897312,BE24736799001085,Sun Feb 23 21:12:58 CET 2020,545.51,EUR,Quae nihil delectus sed.
Jos,BE69771770897312,BE49264741403048,Sun Feb 09 18:55:21 CET 2020,-2207.65,EUR,Earum et dolores corporis provident sit ipsam explicabo.
Jos,BE69771770897312,BE90784405730680,Mon Feb 03 10:20:41 CET 2020,1384.95,EUR,Voluptates ex blanditiis quia dolores omnis.
Jos,BE69771770897312,BE81878089890117,Sun Feb 16 17:19:12 CET 2020,-960.56,EUR,Nisi odit sed ea et.
Jos,BE69771770897312,BE63052536462875,Thu Feb 20 23:15:49 CET 2020,-958.88,EUR,Aut occaecati nihil dolores molestiae assumenda velit.
Jos,BE69771770897312,BE75257419438769,Wed Feb 05 22:03:17 CET 2020,-305.81,EUR,Ipsa laudantium quisquam enim aperiam quia.
Jos,BE69771770897312,BE06776264140206,Thu Feb 06 14:55:56 CET 2020,-1949.31,EUR,Recusandae optio error nam voluptatum minus iure et.
Jos,BE69771770897312,BE49486311361908,Tue Feb 25 19:37:19 CET 2020,2397.29,EUR,Cupiditate voluptates et dicta.
Jos,BE69771770897312,BE23236007307110,Thu Feb 20 13:49:38 CET 2020,-90.46,EUR,Ut in at temporibus assumenda.
Jos,BE69771770897312,BE66595977912796,Thu Feb 20 18:18:29 CET 2020,576.43,EUR,Molestiae maiores sed.
Jos,BE69771770897312,BE14889759637246,Sat Feb 08 19:07:30 CET 2020,4807.49,EUR,Numquam explicabo maiores ea deserunt voluptas quos mollitia.
Jos,BE69771770897312,BE84655489681011,Mon Feb 24 06:56:22 CET 2020,2397.74,EUR,Nihil velit eum sunt rerum sint sed quia.
Jos,BE69771770897312,BE45335299646992,Mon Feb 24 16:56:58 CET 2020,1976.86,EUR,Doloremque perspiciatis est commodi qui.
Jos,BE69771770897312,BE81782189414314,Sun Feb 09 11:07:35 CET 2020,-2330.78,EUR,Id expedita laborum molestiae maxime.
Jos,BE69771770897312,BE84246527640832,Thu Feb 13 19:16:21 CET 2020,-3551.12,EUR,Est sit at vero molestiae at magni aut.
Jos,BE69771770897312,BE79450009198668,Sun Feb 09 14:35:00 CET 2020,-3870.06,EUR,Fuga qui quis voluptatibus doloremque saepe temporibus.
Jos,BE69771770897312,BE33113642233245,Wed Feb 19 17:40:17 CET 2020,-2196.02,EUR,Labore officia similique.
Jos,BE69771770897312,BE44356550377813,Thu Feb 13 10:23:41 CET 2020,-2038.62,EUR,Fugit est est repellat quaerat.
Jos,BE69771770897312,BE39051803905145,Tue Feb 25 13:18:45 CET 2020,1261.01,EUR,Iure est cum nesciunt voluptas velit.
Jos,BE69771770897312,BE95476798842874,Sat Feb 22 07:37:07 CET 2020,3890.4,EUR,Consectetur ut tenetur magnam libero.
Jos,BE69771770897312,BE63282433486063,Sat Feb 22 02:32:24 CET 2020,4303.83,EUR,Aliquid molestiae aspernatur nostrum.
Jos,BE69771770897312,BE74515930598578,Sun Feb 16 10:01:57 CET 2020,1119.82,EUR,Minima non quae et.
Jos,BE69771770897312,BE83323955948716,Sat Feb 22 16:32:21 CET 2020,1103.18,EUR,Corporis rerum voluptatem.
Jos,BE69771770897312,BE77541964262654,Sat Feb 15 17:16:07 CET 2020,-3117.6,EUR,Voluptas ut ut dolor vel neque ea.
Jos,BE69771770897312,BE43107360954803,Mon Feb 24 05:53:11 CET 2020,4899.67,EUR,Odit consequatur dicta autem doloremque ipsum ad.
Jos,BE69771770897312,BE46436596149939,Sat Feb 01 23:57:37 CET 2020,-740.61,EUR,Modi reprehenderit eum consequuntur ut autem.
1410.45,EUR,Ut dolor repellendus facilis magni.
Jos,BE69771770897312,BE10489107717992,Tue Feb 11 22:36:29 CET 2020,3485.27,EUR,Odit ipsum est ducimus voluptatum libero atque.

